State,Rural_Population,year,No_of_Registered,Employment_demanded,Employment_offered,Employment_Availed
ANDHRA PRADESH,37908471,2019,8977974,4512203,4502488,4037367
ARUNACHAL PRADESH,1327174,2019,245611,184507,183330,176827
ASSAM,32753261,2019,5298011,2158409,2157552,1928449
BIHAR,95409077,2019,18337137,4161146,4153105,3347602
CHHATTISGARH,22633485,2019,4006841,2903997,2903613,2445429
GOA,1137225,2019,37115,1744,1733,1698
GUJARAT,43729964,2019,4052340,941070,939136,818881
HARYANA,17813912,2019,992004,309345,308749,257793
HIMACHAL PRADESH,7582856,2019,1298699,580573,580512,535410
JAMMU AND KASHMIR,11023045,2019,1333624,727000,726352,632858
JHARKHAND,31665993,2019,5118107,1626145,1625124,1384800
KARNATAKA,44564120,2019,6369214,2477232,2417559,2237771
KERALA,28895631,2019,3640947,1592407,1592298,1439128
LADAKH,247601,2019,36386,31450,31432,31072
MADHYA PRADESH,60023368,2019,7699109,4240335,4233052,3619252
MAHARASHTRA,68668000,2019,9355168,1729237,1725245,1537146
MANIPUR,2424223,2019,573316,547419,545572,541427
MEGHALAYA,3581606,2019,593729,512790,512791,505573
MIZORAM,665884,2019,200635,203118,203057,202975
NAGALAND,1880620,2019,436793,393978,392680,390368
ODISHA,38395628,2019,6943592,2577256,2573866,2325269
PUNJAB,18189580,2019,1814857,919936,918982,753429
RAJASTHAN,58152360,2019,10717276,6204067,6202188,5574419
SIKKIM,554477,2019,84373,62020,62005,57816
TAMIL NADU,49284215,2019,8588519,5880950,5880442,5648637
TELANGANA,20696907,2019,5569338,2788511,2769472,2479214
TRIPURA,3256110,2019,632858,578313,578296,565992
UTTAR PRADESH,166633659,2019,17995189,6265821,6259889,5311962
UTTARAKHAND,7126737,2019,1116620,546905,546637,503896
WEST BENGAL,77894368,2019,12979312,5907908,5906648,5457316
ANDAMAN AND NICOBAR,252204,2019,33708,6892,6884,5842
DN HAVELI AND DD,420418,2019,14259,0,0,0
LAKSHADWEEP,74640,2019,8212,131,131,121
PUDUCHERRY,562027,2019,70155,44978,44971,39596
ANDHRA PRADESH,37908471,2020,9491897,5098417,5093875,4753434
ARUNACHAL PRADESH,1327174,2020,268884,234636,234197,225798
ASSAM,32753261,2020,5906948,2718112,2717705,2510215
BIHAR,95409077,2020,20709191,6168223,6159570,5064962
CHHATTISGARH,22633485,2020,4295817,3453473,3453317,3060422
GOA,1137225,2020,38021,4227,4225,4169
GUJARAT,43729964,2020,4478035,1410553,1408508,1134158
HARYANA,17813912,2020,1165771,522629,521930,456965
HIMACHAL PRADESH,7582856,2020,1385294,672729,672609,636629
JAMMU AND KASHMIR,11023045,2020,1341936,809436,808258,749251
JHARKHAND,31665993,2020,6644854,3212863,3211911,2537586
KARNATAKA,44564120,2020,7132856,3295638,3235122,3015363
KERALA,28895631,2020,3899565,1764555,1764502,1617425
LADAKH,247601,2020,37049,32722,32712,32415
MADHYA PRADESH,60023368,2020,8875440,6600205,6595319,5527361
MAHARASHTRA,68668000,2020,10370450,1883945,1879243,1684191
MANIPUR,2424223,2020,586416,552103,551599,547245
MEGHALAYA,3581606,2020,619782,543396,543409,536415
MIZORAM,665884,2020,207562,213976,213845,213737
NAGALAND,1880620,2020,447824,396300,394863,392310
ODISHA,38395628,2020,7752747,4458443,4456590,3748517
PUNJAB,18189580,2020,2031004,1082019,1081190,953318
RAJASTHAN,58152360,2020,11680539,8057589,8056217,7542536
SIKKIM,554477,2020,87220,67063,67004,64819
TAMIL NADU,49284215,2020,9072581,6828528,6828499,6649424
TELANGANA,20696907,2020,5580570,3501247,3508116,3110883
TRIPURA,3256110,2020,646662,593922,593920,585583
UTTAR PRADESH,166633659,2020,22125132,12044657,12038795,9396959
UTTARAKHAND,7126737,2020,1223394,689955,689712,654041
WEST BENGAL,77894368,2020,14629545,8429045,8428085,7964988
ANDAMAN AND NICOBAR,252204,2020,33787,8646,8646,7728
DN HAVELI AND DD,420418,2020,14388,0,0,0
LAKSHADWEEP,74640,2020,8225,97,92,73
PUDUCHERRY,562027,2020,73809,54010,54007,47917
ANDHRA PRADESH,37908471,2021,9492840,5488731,5474728,4674194
ARUNACHAL PRADESH,1327174,2021,293141,266242,266121,259426
ASSAM,32753261,2021,6467327,2945257,2944878,2735676
BIHAR,95409077,2021,20753363,5826151,5819624,4775783
CHHATTISGARH,22633485,2021,4271876,3190078,3189885,2854135
GOA,1137225,2021,38547,3375,3346,3322
GUJARAT,43729964,2021,4624301,1535604,1533782,1143462
HARYANA,17813912,2021,1232477,472994,472635,403747
HIMACHAL PRADESH,7582856,2021,1459863,743269,743159,706799
JAMMU AND KASHMIR,11023045,2021,1396977,766499,765702,724522
JHARKHAND,31665993,2021,6800983,2844944,2843888,2501246
KARNATAKA,44564120,2021,7603894,3681378,3618275,3385143
KERALA,28895631,2021,4096994,1746565,1746555,1645183
LADAKH,247601,2021,37702,32445,32440,32239
MADHYA PRADESH,60023368,2021,8680274,6166829,6159820,5174103
MAHARASHTRA,68668000,2021,12582188,2255390,2249679,2035670
MANIPUR,2424223,2021,595555,561370,561206,556574
MEGHALAYA,3581606,2021,639465,543360,543282,533959
MIZORAM,665884,2021,208802,212268,212265,212105
NAGALAND,1880620,2021,456704,419663,418351,414367
ODISHA,38395628,2021,7556766,4066476,4064570,3474989
PUNJAB,18189580,2021,2039910,978870,978006,875043
RAJASTHAN,58152360,2021,11951663,7605899,7604790,7080122
SIKKIM,554477,2021,87615,66319,66269,63483
TAMIL NADU,49284215,2021,9290373,6988530,6988542,6785835
TELANGANA,20696907,2021,5702725,2894487,2644237,2898125
TRIPURA,3256110,2021,663684,600640,600632,593133
UTTAR PRADESH,166633659,2021,23308039,8915331,8911106,7761614
UTTARAKHAND,7126737,2021,1183997,611145,610856,573315
WEST BENGAL,77894368,2021,15698134,8035442,8034714,7597460
ANDAMAN AND NICOBAR,252204,2021,33732,5776,5705,4813
DN HAVELI AND DD,420418,2021,21055,0,0,0
LAKSHADWEEP,74640,2021,8338,46,44,24
PUDUCHERRY,562027,2021,75107,45245,45245,38383
ANDHRA PRADESH,37908471,2022,6830895,5351545,5348757,4582831
ARUNACHAL PRADESH,1327174,2022,313400,277117,276881,271156
ASSAM,32753261,2022,7058443,2506990,2506143,2301042
BIHAR,95409077,2022,14757890,5815235,5806384,5014359
CHHATTISGARH,22633485,2022,4110116,2930128,2929788,2574109
GOA,1137225,2022,39192,3729,3703,3686
GUJARAT,43729964,2022,4564405,1248862,1245956,1029477
HARYANA,17813912,2022,1261125,370416,369804,307954
HIMACHAL PRADESH,7582856,2022,1480018,689454,689199,646771
JAMMU AND KASHMIR,11023045,2022,1419068,753572,751704,706618
JHARKHAND,31665993,2022,6420924,2415204,2413893,2064629
KARNATAKA,44564120,2022,7848464,3271592,3215975,2958862
KERALA,28895631,2022,4102668,1630876,1630878,1551271
LADAKH,247601,2022,37524,34011,33998,33796
MADHYA PRADESH,60023368,2022,8989143,5313603,5301688,4517162
MAHARASHTRA,68668000,2022,13005611,2391498,2385405,2120750
MANIPUR,2424223,2022,599099,387619,387231,359451
MEGHALAYA,3581606,2022,660286,495823,495641,479281
MIZORAM,665884,2022,214612,216402,216359,216082
NAGALAND,1880620,2022,465864,426182,425708,420743
ODISHA,38395628,2022,5926739,3778351,3775742,3337642
PUNJAB,18189580,2022,1807467,972158,971087,845921
RAJASTHAN,58152360,2022,11565631,6826481,6824821,6345729
SIKKIM,554477,2022,88161,63233,63214,60053
TAMIL NADU,49284215,2022,9281742,6771013,6770884,6566606
TELANGANA,20696907,2022,5270446,3274556,3273414,2734741
TRIPURA,3256110,2022,680827,583472,583442,558313
UTTAR PRADESH,166633659,2022,18216637,7750037,7741266,7013140
UTTARAKHAND,7126737,2022,1045733,535586,535286,501168
WEST BENGAL,77894368,2022,13830853,1898632,1896818,1629434
ANDAMAN AND NICOBAR,252204,2022,34267,5714,5714,4656
DN HAVELI AND DD,420418,2022,21145,0,0,0
LAKSHADWEEP,74640,2022,8401,120,120,99
PUDUCHERRY,562027,2022,72275,48887,48885,42309
ANDHRA PRADESH,37908471,2023,6789589,5060424,5057968,4654891
ARUNACHAL PRADESH,1327174,2023,330138,279248,278908,269675
ASSAM,32753261,2023,6901979,2389252,2387773,2249152
BIHAR,95409077,2023,13763049,5467120,5462129,4818856
CHHATTISGARH,22633485,2023,3961650,2760341,2759917,2476995
GOA,1137225,2023,39550,2114,2111,2078
GUJARAT,43729964,2023,4326500,1161686,1158573,994605
HARYANA,17813912,2023,1323053,420205,419246,366509
HIMACHAL PRADESH,7582856,2023,1501963,714509,714275,674019
JAMMU AND KASHMIR,11023045,2023,1373326,726087,724340,686149
JHARKHAND,31665993,2023,6956259,2554781,2553813,2184601
KARNATAKA,44564120,2023,7943275,3241256,3193668,2997026
KERALA,28895631,2023,3973712,1521639,1521639,1469201
LADAKH,247601,2023,37462,32698,32672,32461
MADHYA PRADESH,60023368,2023,8810479,4699747,4683117,4085968
MAHARASHTRA,68668000,2023,13684593,2724077,2717891,2446918
MANIPUR,2424223,2023,609374,510115,509825,489762
MEGHALAYA,3581606,2023,668689,502211,502154,489740
MIZORAM,665884,2023,218511,219862,219836,219212
NAGALAND,1880620,2023,471416,410195,409397,407113
ODISHA,38395628,2023,5871587,3527608,3525009,3271260
PUNJAB,18189580,2023,1830121,967489,966712,848661
RAJASTHAN,58152360,2023,11428585,6739627,6737677,6385196
SIKKIM,554477,2023,88384,63708,63698,60665
TAMIL NADU,49284215,2023,8930472,7020730,7020377,6876092
TELANGANA,20696907,2023,5301690,2832109,2831299,2532567
TRIPURA,3256110,2023,677394,599701,599680,586551
UTTAR PRADESH,166633659,2023,15423811,7450616,7449546,6856928
UTTARAKHAND,7126737,2023,1034244,503256,502840,471699
WEST BENGAL,77894368,2023,13663058,9413,9371,7598
ANDAMAN AND NICOBAR,252204,2023,34855,5228,5166,4310
DN HAVELI AND DD,420418,2023,21330,831,830,819
LAKSHADWEEP,74640,2023,8521,105,105,75
PUDUCHERRY,562027,2023,76553,56981,56980,52496